categoria_1,categoria_2,categoria_3,key1,value1,key2,value2,key3,value3,key4,value4,key5,value5
Serveis socials especialitzats,Serveis adreçats a persones amb discapacitat intel·lectual,Servei de centre de dia ocupacional d'inserció per a persones amb discapacitat intel·lectual (SOI),,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb discapacitat intel·lectual,Servei de centre residencial temporal o permanent per a persones amb discapacitat intel·lectual,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb discapacitat intel·lectual,Servei de llar amb suport per a persones amb discapacitat intel·lectual,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb discapacitat intel·lectual,Servei de llar residència temporal o permanent per a persones amb discapacitat intel·lectual,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb discapacitat intel·lectual,Servei de suport a l'autonomia a la pròpia llar per a persones amb discapacitat intel·lectual,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb discapacitat intel·lectual,Servei de temps lliure per a persones amb discapacitat intel·lectual,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb discapacitat intel·lectual,Servei de tutela per a persones amb discapacitat intel·lectual,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb discapacitat sensorial,"Servei d'assistent personal de suport a la vida autònoma i d'integració social i comunitària, per a discapacitats sensorials sordcecs",,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb discapacitat sensorial,"Servei d'assistent personal de suport en l'acompanyament a activitats laborals, ocupacionals i/o formatives, per a discapacitats sensorials sordcecs",,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb drogodependències i/o altres addiccions,Servei de centre de dia per a persones amb addiccions,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb drogodependències i/o altres addiccions,Servei de pis amb suport per a persones amb drogodependències (baixa i alta intensitat),,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb drogodependències i/o altres addiccions,Servei de prevenció d'addiccions,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb problemàtica social derivada de malaltia mental,Servei de club social (mòdul A / mòdul B),,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb problemàtica social derivada de malaltia mental,Servei de llar amb suport temporal o permanent per a persones amb problemàtica social derivada de malaltia mental,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb problemàtica social derivada de malaltia mental,Servei de llar residència temporal o permanent per a persones amb problemàtica social derivada de malaltia mental,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb problemàtica social derivada de malaltia mental,Servei de suport a l'autonomia a la pròpia llar per a persones amb problemàtica social derivada de malaltia mental,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb problemàtica social derivada de malaltia mental,Servei de tutela per a persones amb malaltia mental,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones amb problemàtica social derivada de malaltia mental,Servei prelaboral,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones grans amb dependència o risc social,Servei d'atenció integral a les persones grans en l'àmbit rural,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones grans amb dependència o risc social,Servei de centre de dia per a gent gran de caràcter temporal o permanent,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones grans amb dependència o risc social,Servei de llar residència per a gent gran de caràcter temporal o permanent,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones grans amb dependència o risc social,Servei de residència assistida per a gent gran de caràcter temporal o permanent,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones grans amb dependència o risc social,Servei de tutela per a gent gran,,,,,,,,,,
Serveis socials especialitzats,Serveis adreçats a persones grans amb dependència o risc social,Servei d'habitatge tutelat per a gent gran de caràcter temporal o permanent,,,,,,,,,,
Serveis socials especialitzats,Serveis comuns adreçats a persones amb discapacitat,Servei d'atenció precoç,,,,,,,,,,
Serveis socials especialitzats,Serveis comuns adreçats a persones amb discapacitat,Servei de valoració,,,,,,,,,,
Serveis socials especialitzats,Serveis comuns adreçats a persones amb discapacitat,Servei d'orientació,,,,,,,,,,
Serveis socials especialitzats,Serveis de cuidadors familiars o altres cuidadors no professionals,Servei de suport als familiars cuidadors i altres cuidadors no professionals,,,,,,,,,,
Serveis socials especialitzats,Serveis de suport als serveis socials especialitzats,Servei de suport social als serveis socials especialitzats,,,,,,,,,,
